job_id,job_title,company,location,experience_required,salary,job_description,posted_date,job_url,source,scraped_date,experience_min,experience_max,experience_level,salary_min,salary_max,salary_mid,skills_extracted,skills_text,num_skills,cluster_id,cluster_label,pca_x,pca_y
job_0010,Management Consultant,Uber,Gurgaon,2-4 years,25-40 Lacs PA,"Looking for a Management Consultant at Uber in Gurugram. The ideal candidate should have experience in A/B Testing, Leadership. Key responsibilities include product lifecycle management.",2026-01-28,https://example.com/jobs/10,Synthetic,2026-02-11 01:46:24.928697,2.0,4.0,Mid Level,25.0,40.0,32.5,"['A/B Testing', 'Leadership']","A/B Testing, Leadership",2,4,"Cluster 4: include product, product lifecycle",-0.15619412772230679,0.4933753254806856
job_0011,Management Consultant,Ola,Pune,5-9 years,16-26 Lacs PA,"Looking for a Management Consultant at Ola in Pune. The ideal candidate should have experience in Excel, Leadership. Key responsibilities include data-driven decision making.",2026-01-22,https://example.com/jobs/11,Synthetic,2026-02-11 01:46:24.928708,5.0,9.0,Senior Level,16.0,26.0,21.0,"['Excel', 'Leadership']","Excel, Leadership",2,2,"Cluster 2: driven decision, making",0.3236262466949762,0.1433483759116783
job_0012,Growth PM,Paytm,Pune,7-11 years,12-16 Lacs PA,"Looking for a Growth PM at Paytm in Pune. The ideal candidate should have experience in Leadership, Python. Key responsibilities include strategic planning.",2026-01-11,https://example.com/jobs/12,Synthetic,2026-02-11 01:46:24.928718,7.0,11.0,Senior Level,12.0,16.0,14.0,"['Leadership', 'Python']","Leadership, Python",2,3,"Cluster 3: planning, strategic",-0.17634038741781272,-0.2711459920212557
job_0013,Business Analyst,Google,Gurgaon,0-3 years,9-13 Lacs PA,"Looking for a Business Analyst at Google in Gurugram. The ideal candidate should have experience in JIRA, SQL. Key responsibilities include product lifecycle management.",2026-01-16,https://example.com/jobs/13,Synthetic,2026-02-11 01:46:24.928729,0.0,3.0,Entry Level,9.0,13.0,11.0,"['JIRA', 'SQL']","JIRA, SQL",2,4,"Cluster 4: include product, product lifecycle",-0.23655097732405572,0.3940824255260401
job_0014,Technical PM,Deloitte,Gurgaon,0-5 years,6-14 Lacs PA,"Looking for a Technical PM at Deloitte in Gurgaon. The ideal candidate should have experience in Excel, NLP. Key responsibilities include driving growth.",2026-01-04,https://example.com/jobs/14,Synthetic,2026-02-11 01:46:24.928739,0.0,5.0,Entry Level,6.0,14.0,10.0,"['Excel', 'NLP']","Excel, NLP",2,0,"Cluster 0: growth, include driving",-0.13427986365880468,-0.3429740011887811
job_0015,Product Manager,Microsoft,Gurgaon,0-3 years,22-27 Lacs PA,"Looking for a Product Manager at Microsoft in Gurgaon. The ideal candidate should have experience in NLP, Python. Key responsibilities include data-driven decision making.",2026-01-30,https://example.com/jobs/15,Synthetic,2026-02-11 01:46:24.928750,0.0,3.0,Entry Level,22.0,27.0,24.5,"['NLP', 'Python']","NLP, Python",2,2,"Cluster 2: driven decision, making",0.37439489670938003,0.016400201481794677
job_0016,Growth PM,Zomato,Bangalore,1-3 years,9-15 Lacs PA,"Looking for a Growth PM at Zomato in Bangalore. The ideal candidate should have experience in Leadership, Machine Learning. Key responsibilities include strategic planning.",2026-01-06,https://example.com/jobs/16,Synthetic,2026-02-11 01:46:24.928761,1.0,3.0,Entry Level,9.0,15.0,12.0,"['Leadership', 'Machine Learning']","Leadership, Machine Learning",2,3,"Cluster 3: planning, strategic",-0.1208062949014663,-0.20479556310875058
job_0017,Data Analyst,BCG,Gurgaon,1-4 years,12-19 Lacs PA,"Looking for a Data Analyst at BCG in Gurugram. The ideal candidate should have experience in Python, Leadership. Key responsibilities include driving growth.",2026-01-18,https://example.com/jobs/17,Synthetic,2026-02-11 01:46:24.928771,1.0,4.0,Entry Level,12.0,19.0,15.5,"['Leadership', 'Python']","Leadership, Python",2,0,"Cluster 0: growth, include driving",-0.08782630366378956,-0.22019965900242405
job_0018,Management Consultant,Zomato,Mumbai,1-3 years,24-29 Lacs PA,"Looking for a Management Consultant at Zomato in Mumbai. The ideal candidate should have experience in Product Roadmap, SQL. Key responsibilities include product lifecycle management.",2026-01-06,https://example.com/jobs/18,Synthetic,2026-02-11 01:46:24.928781,1.0,3.0,Entry Level,24.0,29.0,26.5,"['Product Roadmap', 'SQL']","Product Roadmap, SQL",2,4,"Cluster 4: include product, product lifecycle",-0.17481580154170412,0.5314575905722451
job_0019,Business Analyst,Tata Consultancy Services,Gurgaon,0-5 years,Not Disclosed,"Looking for a Business Analyst at Tata Consultancy Services in Gurgaon. The ideal candidate should have experience in SQL, Power BI. Key responsibilities include strategic planning.",2026-01-09,https://example.com/jobs/19,Synthetic,2026-02-11 01:46:24.928790,0.0,5.0,Entry Level,,,,"['Power BI', 'SQL']","Power BI, SQL",2,3,"Cluster 3: planning, strategic",-0.18636705655144087,-0.12569815785765148
job_0020,Technical PM,Razorpay,Mumbai,1-3 years,Not Disclosed,"Looking for a Technical PM at Razorpay in Mumbai. The ideal candidate should have experience in Machine Learning, JIRA. Key responsibilities include data-driven decision making.",2026-01-15,https://example.com/jobs/20,Synthetic,2026-02-11 01:46:24.928800,1.0,3.0,Entry Level,,,,"['JIRA', 'Machine Learning']","JIRA, Machine Learning",2,2,"Cluster 2: driven decision, making",0.38571925388323475,-0.07701814275338303
job_0021,Growth PM,Reliance Industries,Hyderabad,0-5 years,11-20 Lacs PA,"Looking for a Growth PM at Reliance Industries in Hyderabad. The ideal candidate should have experience in Python, NLP. Key responsibilities include driving growth.",2026-01-02,https://example.com/jobs/21,Synthetic,2026-02-11 01:46:24.928812,0.0,5.0,Entry Level,11.0,20.0,15.5,"['NLP', 'Python']","NLP, Python",2,0,"Cluster 0: growth, include driving",-0.21002248341779767,-0.36061150718492524
job_0022,Product Manager,Flipkart,Bangalore,3-6 years,Not Disclosed,"Looking for a Product Manager at Flipkart in Bangalore. The ideal candidate should have experience in SQL, Communication. Key responsibilities include product lifecycle management.",2026-01-31,https://example.com/jobs/22,Synthetic,2026-02-11 01:46:24.928822,3.0,6.0,Mid Level,,,,"['Communication', 'SQL']","Communication, SQL",2,4,"Cluster 4: include product, product lifecycle",-0.1517884916257044,0.40937233341705076
job_0023,Technical PM,Uber,Gurgaon,0-5 years,11-18 Lacs PA,"Looking for a Technical PM at Uber in Gurgaon. The ideal candidate should have experience in Power BI, Tableau. Key responsibilities include driving growth.",2026-01-22,https://example.com/jobs/23,Synthetic,2026-02-11 01:46:24.928835,0.0,5.0,Entry Level,11.0,18.0,14.5,"['Power BI', 'Tableau']","Power BI, Tableau",2,0,"Cluster 0: growth, include driving",-0.17540430843951965,-0.3646433087656713
job_0024,Business Analyst,Razorpay,Hyderabad,1-4 years,10-16 Lacs PA,"Looking for a Business Analyst at Razorpay in Hyderabad. The ideal candidate should have experience in Python, Power BI. Key responsibilities include product lifecycle management.",2026-01-22,https://example.com/jobs/24,Synthetic,2026-02-11 01:46:24.928845,1.0,4.0,Entry Level,10.0,16.0,13.0,"['Power BI', 'Python']","Power BI, Python",2,4,"Cluster 4: include product, product lifecycle",-0.21563638267044632,0.24804690581388528
job_0026,Data Analyst,Zomato,Bangalore,5-10 years,Not Disclosed,"Looking for a Data Analyst at Zomato in Bengaluru. The ideal candidate should have experience in Leadership, Amplitude. Key responsibilities include strategic planning.",2026-01-12,https://example.com/jobs/26,Synthetic,2026-02-11 01:46:24.928866,5.0,10.0,Senior Level,,,,"['Amplitude', 'Leadership']","Amplitude, Leadership",2,3,"Cluster 3: planning, strategic",-0.06822661746258521,-0.09689711906455543
job_0027,Business Intelligence Analyst,Razorpay,Delhi,1-6 years,6-14 Lacs PA,"Looking for a Business Intelligence Analyst at Razorpay in Delhi. The ideal candidate should have experience in JIRA, Communication. Key responsibilities include driving growth.",2026-01-07,https://example.com/jobs/27,Synthetic,2026-02-11 01:46:24.928875,1.0,6.0,Entry Level,6.0,14.0,10.0,"['Communication', 'JIRA']","Communication, JIRA",2,0,"Cluster 0: growth, include driving",-0.26690794811360263,-0.11844405537065229
job_0028,Strategy Manager,Razorpay,Gurgaon,0-4 years,16-21 Lacs PA,"Looking for a Strategy Manager at Razorpay in Gurugram. The ideal candidate should have experience in Leadership, Financial Modeling. Key responsibilities include data-driven decision making.",2026-01-11,https://example.com/jobs/28,Synthetic,2026-02-11 01:46:24.928884,0.0,4.0,Entry Level,16.0,21.0,18.5,"['Financial Modeling', 'Leadership', 'Strategy']","Financial Modeling, Leadership, Strategy",3,1,"Cluster 1: financial, modeling",0.525397238028501,-0.0026836252993201904
job_0029,Strategy Manager,McKinsey & Co,Bangalore,7-10 years,21-26 Lacs PA,"Looking for a Strategy Manager at McKinsey & Co in Bangalore. The ideal candidate should have experience in Amplitude, A/B Testing. Key responsibilities include data-driven decision making.",2026-01-19,https://example.com/jobs/29,Synthetic,2026-02-11 01:46:24.928893,7.0,10.0,Senior Level,21.0,26.0,23.5,"['A/B Testing', 'Amplitude', 'Strategy']","A/B Testing, Amplitude, Strategy",3,1,"Cluster 1: financial, modeling",0.4083781990807933,-0.017855754585343386
job_0031,Growth PM,Tata Consultancy Services,Bangalore,3-8 years,6-15 Lacs PA,"Looking for a Growth PM at Tata Consultancy Services in Bangalore. The ideal candidate should have experience in Tableau, Product Roadmap. Key responsibilities include driving growth.",2026-01-17,https://example.com/jobs/31,Synthetic,2026-02-11 01:46:24.928911,3.0,8.0,Mid Level,6.0,15.0,10.5,"['Product Roadmap', 'Tableau']","Product Roadmap, Tableau",2,0,"Cluster 0: growth, include driving",-0.1700161358732184,-0.236741723094083
job_0032,Growth PM,Flipkart,Delhi,8-11 years,11-16 Lacs PA,"Looking for a Growth PM at Flipkart in Delhi. The ideal candidate should have experience in A/B Testing, Product Roadmap. Key responsibilities include driving growth.",2026-01-30,https://example.com/jobs/32,Synthetic,2026-02-11 01:46:24.928920,8.0,11.0,Senior Level,11.0,16.0,13.5,"['A/B Testing', 'Product Roadmap']","A/B Testing, Product Roadmap",2,0,"Cluster 0: growth, include driving",-0.27499533410880395,-0.16703121762065146
job_0034,Management Consultant,Google,Pune,0-4 years,Not Disclosed,"Looking for a Management Consultant at Google in Pune. The ideal candidate should have experience in Power BI, Leadership. Key responsibilities include driving growth.",2026-01-20,https://example.com/jobs/34,Synthetic,2026-02-11 01:46:24.928938,0.0,4.0,Entry Level,,,,"['Leadership', 'Power BI']","Leadership, Power BI",2,0,"Cluster 0: growth, include driving",-0.16280344003559044,-0.03277996183598332
job_0036,Business Analyst,Amazon,Pune,3-6 years,10-16 Lacs PA,"Looking for a Business Analyst at Amazon in Pune. The ideal candidate should have experience in Communication, Leadership. Key responsibilities include strategic planning.",2026-01-20,https://example.com/jobs/36,Synthetic,2026-02-11 01:46:24.928957,3.0,6.0,Mid Level,10.0,16.0,13.0,"['Communication', 'Leadership']","Communication, Leadership",2,3,"Cluster 3: planning, strategic",-0.22728610200606367,-0.07048455675378824
job_0037,Management Consultant,Deloitte,Bangalore,6-10 years,Not Disclosed,"Looking for a Management Consultant at Deloitte in Bangalore. The ideal candidate should have experience in Communication, Mixpanel. Key responsibilities include driving growth.",2026-01-04,https://example.com/jobs/37,Synthetic,2026-02-11 01:46:24.928967,6.0,10.0,Senior Level,,,,"['Communication', 'Mixpanel']","Communication, Mixpanel",2,0,"Cluster 0: growth, include driving",-0.11844114211388794,-0.058593654517345155
job_0038,Data Analyst,PhonePe,Bangalore,7-10 years,12-19 Lacs PA,"Looking for a Data Analyst at PhonePe in Bengaluru. The ideal candidate should have experience in JIRA, Power BI. Key responsibilities include driving growth.",2026-01-12,https://example.com/jobs/38,Synthetic,2026-02-11 01:46:24.928976,7.0,10.0,Senior Level,12.0,19.0,15.5,"['JIRA', 'Power BI']","JIRA, Power BI",2,0,"Cluster 0: growth, include driving",-0.059372134437929436,-0.26465908314043834
job_0041,Strategy Manager,Google,Pune,6-9 years,21-34 Lacs PA,"Looking for a Strategy Manager at Google in Pune. The ideal candidate should have experience in JIRA, Machine Learning. Key responsibilities include driving growth.",2026-01-22,https://example.com/jobs/41,Synthetic,2026-02-11 01:46:24.929005,6.0,9.0,Senior Level,21.0,34.0,27.5,"['JIRA', 'Machine Learning', 'Strategy']","JIRA, Machine Learning, Strategy",3,0,"Cluster 0: growth, include driving",0.037853621883856256,-0.12282094744962803
job_0044,Product Manager,Zomato,Pune,4-6 years,17-22 Lacs PA,"Looking for a Product Manager at Zomato in Pune. The ideal candidate should have experience in Google Analytics, Stakeholder Management. Key responsibilities include driving growth.",2026-01-30,https://example.com/jobs/44,Synthetic,2026-02-11 01:46:24.929031,4.0,6.0,Mid Level,17.0,22.0,19.5,"['Google Analytics', 'Stakeholder Management']","Google Analytics, Stakeholder Management",2,0,"Cluster 0: growth, include driving",-0.1592333912760719,0.11821618538754645
job_0045,Business Analyst,McKinsey & Co,Gurgaon,1-5 years,10-19 Lacs PA,"Looking for a Business Analyst at McKinsey & Co in Gurugram. The ideal candidate should have experience in Product Roadmap, JIRA. Key responsibilities include data-driven decision making.",2026-01-21,https://example.com/jobs/45,Synthetic,2026-02-11 01:46:24.929040,1.0,5.0,Entry Level,10.0,19.0,14.5,"['JIRA', 'Product Roadmap']","JIRA, Product Roadmap",2,2,"Cluster 2: driven decision, making",0.23772755281106264,0.11807929173020562
job_0047,Technical PM,Zomato,Delhi,7-12 years,11-19 Lacs PA,"Looking for a Technical PM at Zomato in Delhi. The ideal candidate should have experience in Power BI, Mixpanel. Key responsibilities include strategic planning.",2026-01-26,https://example.com/jobs/47,Synthetic,2026-02-11 01:46:24.929057,7.0,12.0,Senior Level,11.0,19.0,15.0,"['Mixpanel', 'Power BI']","Mixpanel, Power BI",2,3,"Cluster 3: planning, strategic",-0.1474733753476932,-0.20390211923080312
job_0048,Growth PM,Deloitte,Gurgaon,6-11 years,12-20 Lacs PA,"Looking for a Growth PM at Deloitte in Gurugram. The ideal candidate should have experience in Google Analytics, SQL. Key responsibilities include strategic planning.",2026-01-29,https://example.com/jobs/48,Synthetic,2026-02-11 01:46:24.929066,6.0,11.0,Senior Level,12.0,20.0,16.0,"['Google Analytics', 'SQL']","Google Analytics, SQL",2,3,"Cluster 3: planning, strategic",-0.20777369366636375,-0.15381504178936656
job_0049,Technical PM,McKinsey & Co,Delhi,4-7 years,10-15 Lacs PA,"Looking for a Technical PM at McKinsey & Co in Delhi. The ideal candidate should have experience in Product Roadmap, JIRA. Key responsibilities include driving growth.",2026-01-17,https://example.com/jobs/49,Synthetic,2026-02-11 01:46:24.929076,4.0,7.0,Mid Level,10.0,15.0,12.5,"['JIRA', 'Product Roadmap']","JIRA, Product Roadmap",2,0,"Cluster 0: growth, include driving",-0.16246313709498056,-0.17346531465770207
job_0050,Business Analyst,Uber,Gurgaon,5-10 years,Not Disclosed,"Looking for a Business Analyst at Uber in Gurugram. The ideal candidate should have experience in A/B Testing, User Research. Key responsibilities include product lifecycle management.",2026-01-07,https://example.com/jobs/50,Synthetic,2026-02-11 01:46:24.929084,5.0,10.0,Senior Level,,,,"['A/B Testing', 'User Research']","A/B Testing, User Research",2,4,"Cluster 4: include product, product lifecycle",-0.23843059864751726,0.43281094282524873
job_0052,Product Manager,Uber,Delhi,8-13 years,19-31 Lacs PA,"Looking for a Product Manager at Uber in Delhi. The ideal candidate should have experience in Power BI, Machine Learning. Key responsibilities include product lifecycle management.",2026-01-19,https://example.com/jobs/52,Synthetic,2026-02-11 01:46:24.929103,8.0,13.0,Senior Level,19.0,31.0,25.0,"['Machine Learning', 'Power BI']","Machine Learning, Power BI",2,4,"Cluster 4: include product, product lifecycle",-0.09843734317190211,0.3498237273468574
job_0054,Data Analyst,Microsoft,Bangalore,5-8 years,9-16 Lacs PA,"Looking for a Data Analyst at Microsoft in Bangalore. The ideal candidate should have experience in Financial Modeling, Power BI. Key responsibilities include data-driven decision making.",2026-01-18,https://example.com/jobs/54,Synthetic,2026-02-11 01:46:24.929121,5.0,8.0,Senior Level,9.0,16.0,12.5,"['Financial Modeling', 'Power BI']","Financial Modeling, Power BI",2,1,"Cluster 1: financial, modeling",0.450963587562317,-0.10494421723840454
job_0055,Growth PM,McKinsey & Co,Gurgaon,7-10 years,Not Disclosed,"Looking for a Growth PM at McKinsey & Co in Gurgaon. The ideal candidate should have experience in Python, Financial Modeling. Key responsibilities include driving growth.",2026-01-11,https://example.com/jobs/55,Synthetic,2026-02-11 01:46:24.929130,7.0,10.0,Senior Level,,,,"['Financial Modeling', 'Python']","Financial Modeling, Python",2,0,"Cluster 0: growth, include driving",-0.037052515861410576,-0.4021544282409328
job_0056,Technical PM,PhonePe,Delhi,5-10 years,Not Disclosed,"Looking for a Technical PM at PhonePe in Delhi. The ideal candidate should have experience in NLP, JIRA. Key responsibilities include driving growth.",2026-01-11,https://example.com/jobs/56,Synthetic,2026-02-11 01:46:24.929139,5.0,10.0,Senior Level,,,,"['JIRA', 'NLP']","JIRA, NLP",2,0,"Cluster 0: growth, include driving",-0.1543200251489552,-0.3172216967731521
job_0057,Strategy Manager,Flipkart,Gurgaon,2-4 years,15-23 Lacs PA,"Looking for a Strategy Manager at Flipkart in Gurgaon. The ideal candidate should have experience in Machine Learning, User Research. Key responsibilities include product lifecycle management.",2026-01-19,https://example.com/jobs/57,Synthetic,2026-02-11 01:46:24.929148,2.0,4.0,Mid Level,15.0,23.0,19.0,"['Machine Learning', 'Strategy', 'User Research']","Machine Learning, Strategy, User Research",3,4,"Cluster 4: include product, product lifecycle",0.005842367534665929,0.33033414272231604
job_0059,Business Intelligence Analyst,Zomato,Gurgaon,5-7 years,8-15 Lacs PA,"Looking for a Business Intelligence Analyst at Zomato in Gurgaon. The ideal candidate should have experience in Machine Learning, Amplitude. Key responsibilities include driving growth.",2026-01-15,https://example.com/jobs/59,Synthetic,2026-02-11 01:46:24.929167,5.0,7.0,Senior Level,8.0,15.0,11.5,"['Amplitude', 'Machine Learning']","Amplitude, Machine Learning",2,0,"Cluster 0: growth, include driving",-0.17007198252250674,-0.12682547133763816
job_0065,Technical PM,Swiggy,Gurgaon,6-9 years,Not Disclosed,"Looking for a Technical PM at Swiggy in Gurgaon. The ideal candidate should have experience in Mixpanel, Market Research. Key responsibilities include product lifecycle management.",2026-01-12,https://example.com/jobs/65,Synthetic,2026-02-11 01:46:24.929224,6.0,9.0,Senior Level,,,,"['Market Research', 'Mixpanel']","Market Research, Mixpanel",2,4,"Cluster 4: include product, product lifecycle",-0.10170609704409264,0.19287278239739483
job_0067,Strategy Manager,Reliance Industries,Bangalore,5-8 years,20-27 Lacs PA,"Looking for a Strategy Manager at Reliance Industries in Bangalore. The ideal candidate should have experience in Leadership, A/B Testing. Key responsibilities include strategic planning.",2026-01-09,https://example.com/jobs/67,Synthetic,2026-02-11 01:46:24.929242,5.0,8.0,Senior Level,20.0,27.0,23.5,"['A/B Testing', 'Leadership', 'Strategy']","A/B Testing, Leadership, Strategy",3,3,"Cluster 3: planning, strategic",-0.06965784942435023,-0.0721464752803076
job_0068,Management Consultant,Paytm,Gurgaon,5-7 years,Not Disclosed,"Looking for a Management Consultant at Paytm in Gurgaon. The ideal candidate should have experience in Figma, Python. Key responsibilities include strategic planning.",2026-01-11,https://example.com/jobs/68,Synthetic,2026-02-11 01:46:24.929251,5.0,7.0,Senior Level,,,,"['Figma', 'Python']","Figma, Python",2,3,"Cluster 3: planning, strategic",-0.09660399334131665,0.008924002220573199
job_0070,Growth PM,PhonePe,Gurgaon,8-12 years,10-15 Lacs PA,"Looking for a Growth PM at PhonePe in Gurgaon. The ideal candidate should have experience in Machine Learning, Mixpanel. Key responsibilities include data-driven decision making.",2026-01-30,https://example.com/jobs/70,Synthetic,2026-02-11 01:46:24.929272,8.0,12.0,Senior Level,10.0,15.0,12.5,"['Machine Learning', 'Mixpanel']","Machine Learning, Mixpanel",2,2,"Cluster 2: driven decision, making",0.3459897852141222,-0.18968392810300494
job_0072,Data Analyst,Tata Consultancy Services,Bangalore,3-6 years,11-18 Lacs PA,"Looking for a Data Analyst at Tata Consultancy Services in Bengaluru. The ideal candidate should have experience in Python, Amplitude. Key responsibilities include data-driven decision making.",2026-01-07,https://example.com/jobs/72,Synthetic,2026-02-11 01:46:24.929291,3.0,6.0,Mid Level,11.0,18.0,14.5,"['Amplitude', 'Python']","Amplitude, Python",2,2,"Cluster 2: driven decision, making",0.3777658209400863,-0.08279206434662405
job_0076,Management Consultant,Swiggy,Delhi,3-5 years,24-37 Lacs PA,"Looking for a Management Consultant at Swiggy in Delhi. The ideal candidate should have experience in Product Roadmap, Amplitude. Key responsibilities include product lifecycle management.",2026-01-01,https://example.com/jobs/76,Synthetic,2026-02-11 01:46:24.929328,3.0,5.0,Mid Level,24.0,37.0,30.5,"['Amplitude', 'Product Roadmap']","Amplitude, Product Roadmap",2,4,"Cluster 4: include product, product lifecycle",-0.1600405592899619,0.5070364505944253
job_0077,Business Intelligence Analyst,Ola,Bangalore,7-12 years,6-12 Lacs PA,"Looking for a Business Intelligence Analyst at Ola in Bangalore. The ideal candidate should have experience in Leadership, Mixpanel. Key responsibilities include driving growth.",2026-01-26,https://example.com/jobs/77,Synthetic,2026-02-11 01:46:24.929340,7.0,12.0,Senior Level,6.0,12.0,9.0,"['Leadership', 'Mixpanel']","Leadership, Mixpanel",2,0,"Cluster 0: growth, include driving",-0.24233309169727718,-0.1765591587759001
job_0079,Growth PM,Uber,Mumbai,5-10 years,10-16 Lacs PA,"Looking for a Growth PM at Uber in Mumbai. The ideal candidate should have experience in A/B Testing, Leadership. Key responsibilities include driving growth.",2026-01-14,https://example.com/jobs/79,Synthetic,2026-02-11 01:46:24.929359,5.0,10.0,Senior Level,10.0,16.0,13.0,"['A/B Testing', 'Leadership']","A/B Testing, Leadership",2,0,"Cluster 0: growth, include driving",-0.2367845613570478,-0.2786791710959072
job_0080,Product Manager,Amazon,Mumbai,8-10 years,21-32 Lacs PA,"Looking for a Product Manager at Amazon in Mumbai. The ideal candidate should have experience in A/B Testing, Financial Modeling. Key responsibilities include driving growth.",2026-01-21,https://example.com/jobs/80,Synthetic,2026-02-11 01:46:24.929368,8.0,10.0,Senior Level,21.0,32.0,26.5,"['A/B Testing', 'Financial Modeling']","A/B Testing, Financial Modeling",2,1,"Cluster 1: financial, modeling",-0.014587986033980533,-0.06926150633525242
job_0083,Business Intelligence Analyst,BCG,Delhi,7-10 years,6-14 Lacs PA,"Looking for a Business Intelligence Analyst at BCG in Delhi. The ideal candidate should have experience in Stakeholder Management, A/B Testing. Key responsibilities include product lifecycle management.",2026-01-25,https://example.com/jobs/83,Synthetic,2026-02-11 01:46:24.929395,7.0,10.0,Senior Level,6.0,14.0,10.0,"['A/B Testing', 'Stakeholder Management']","A/B Testing, Stakeholder Management",2,4,"Cluster 4: include product, product lifecycle",-0.3019487429643871,0.4470615749673856
